sentence_style;sentence_id;x_nom_sg;x_group;x_gender;x_idx;x_stereotypical;x_level;y_nom_sg;y_group;y_gender;y_idx;y_stereotypical;y_level;adjective;modified;name;name_gender;text;es;fr;it;ar;ru;uk;he;alignment_es;alignment_fr;alignment_it;alignment_ar;alignment_ru;alignment_uk;alignment_he;x_phrase_indices;x_phrase_es;x_phrase_fr;x_phrase_it;x_phrase_ar;x_phrase_ru;x_phrase_uk;x_phrase_he;x_gender_es;x_votes_es;x_gender_fr;x_votes_fr;x_gender_it;x_votes_it;x_gender_ar;x_votes_ar;x_gender_ru;x_votes_ru;x_gender_uk;x_votes_uk;x_gender_he;x_votes_he
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Bauer flüstert seinem Liebhaber ein Kompliment zu.;El campesino susurra un cumplido a su amante.;Le fermier chuchote un compliment à son amant.;Il contadino sussurra un complimento al suo amante.;‏الفلاح يهمس لحبيبه بمجاملة.;Фермер шепчет своему возлюбленному комплимент.;Фермер шепоче своєму коханому комплімент.;האיכר לוחש לאהובו מחמאה.;0-0 1-1 2-2 3-6 4-1 4-7 5-3 6-4 7-7;0-0 1-1 2-2 3-6 4-1 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-1 4-7 5-3 6-4 7-7;0-0 1-0 2-1 3-2 4-2 5-3 6-3 7-3;0-0 1-0 2-1 3-2 4-3 5-3 6-4 7-4;0-0 1-0 2-1 3-2 4-3 6-4 7-4;0-0 1-0 2-1 3-2 4-2 5-3 6-3 7-3;[0, 1];El campesino;Le fermier;Il contadino;‏الفلاح;Фермер;Фермер;האיכר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bauer;111;MASCULINE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Bauer flüstert seiner Liebhaberin ein Kompliment zu.;El campesino le susurra un cumplido a su amante.;Le paysan murmure un compliment à sa maîtresse.;Il contadino sussurra un complimento alla sua amante.;يهمس المزارع إلى حبيبته بمجاملة.;Фермер шепчет своей возлюбленной комплимент.;Фермер шепоче своїй коханій комплімент.;האיכר לוחש למחזרתו מחמאה.;0-0 1-1 2-3 3-7 4-8 5-4 6-5 7-8;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-1 4-7 5-3 6-4 7-7;0-1 1-1 2-0 3-2 4-1 4-3 5-4 6-4 7-4;0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-4;0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-4;0-0 1-0 2-1 3-2 4-2 5-3 6-3 7-3;[0, 1];El campesino;Le paysan;Il contadino;المزارع;Фермер;Фермер;האיכר;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrem Liebhaber ein Kompliment zu.;La campesina susurra un cumplido a su amante.;La paysanne murmure un compliment à son amant.;La contadina sussurra un complimento al suo amante.;تهمس الفلاحة لحبيبها بمجاملة.;Крестьянка шепчет своему любовнику комплимент.;Селянка шепоче своєму коханцю комплімент.;החקלאית לוחשת לחברהּ מחמאה.;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-5 3-6 4-7 5-3 6-4 7-7;0-0 1-1 1-2 2-0 3-2 4-2 4-3 5-3 6-3 7-3;0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-4;0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-4;0-0 1-0 2-1 3-2 4-2 6-3 7-3;[0, 1];La campesina;La paysanne;La contadina;تهمس الفلاحة لحبيبها;Крестьянка;Селянка;החקלאית;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
5;43;Bäuerin;111;FEMININE;1;;Fachkraefte;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Die Bäuerin flüstert ihrer Liebhaberin ein Kompliment zu.;La campesina le susurra un cumplido a su amante.;La paysanne murmure un compliment à sa maîtresse.;La contadina sussurra un complimento alla sua amante.;تهمس الفلاحة لمحبوبتها بمجاملة.;Крестьянка шепчет своей возлюбленной комплимент.;Селянка шепоче своїй коханці комплімент.;האיכרה לוחשת לאהובתה מחמאה.;0-0 1-1 2-3 3-7 4-8 5-4 6-5 7-8;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-5 7-7;0-0 1-1 2-2 3-6 4-7 5-3 6-4 7-7;0-0 1-1 2-0 2-2 4-2 5-3 6-3 7-3;0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-4;0-0 1-0 2-1 3-2 4-3 5-4 6-4 7-4;0-0 1-0 2-1 3-2 4-2 5-3 6-3 7-3;[0, 1];La campesina;La paysanne;La contadina;تهمس الفلاحة;Крестьянка;Селянка;האיכרה;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Leon;MASCULINE;Leon ist Bauer.;León es agricultor.;Léon est agriculteur.;Leon è un contadino.;ليون مزارع.;Леон — фермер.;Леон — фермер.;לאון הוא חקלאי.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-3;0-0 1-1 2-1;0-0 1-2 2-2;0-0 1-2 2-2;0-0 1-1 2-2;[1, 2];es agricultor.;est agriculteur.;è contadino.;مزارع.;фермер.;фермер.;הוא חקלאי.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
6;44;Bauer;111;MASCULINE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bauer.;Bente es agricultor.;Bente est agriculteur.;Bente è contadina.;بينته فلاح.;Бенте - фермер.;Бенте є фермером.;בנתי היא חקלאית.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultor.;est agriculteur.;è contadina.;فلاح.;- фермер.;є фермером.;היא חקלאית.;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Bente;n;Bente ist Bäuerin.;Bente es agricultora.;Bente est fermière.;Bente è contadina.;بنت فلاحَة.;Бенте — фермер.;Бенте — фермерка.;בנטה חקלאית.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;0-1 1-0 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 2-1;[1, 2];es agricultora.;est fermière.;è contadina.;بنت فلاحَة.;— фермер.;— фермерка.;חקלאית.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];MASCULINE;['MASCULINE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
6;44;Bäuerin;111;FEMININE;2;;Fachkraefte;none;none;none;none;none;none;none;none;Sophia;FEMININE;Sophia ist Bäuerin.;Sophia es agricultora.;Sophia est agricultrice.;Sophia è contadina.;صوفيا فلاحة.;София — фермерша.;Софія - фермерка.;סופיה היא חקלאית.;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-0 2-1;0-0 1-1 2-2;0-0 1-1 2-2;0-0 1-1 2-2;[1, 2];es agricultora.;est agricultrice.;è contadina.;صوفيا فلاحة.;— фермерша.;- фермерка.;היא חקלאית.;FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];UNKNOWN;['UNKNOWN'];FEMININE;['FEMININE'];FEMININE;['FEMININE'];FEMININE;['FEMININE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaber;romantic;MASCULINE;4;;none;none;none;none;none;Der Erntehelfer liebt seinen Liebhaber.;El jornalero ama a su amante.;Le saisonnier aime son amant.;Il bracciante agricolo ama il suo amante.;العامل الموسمي يحب حبيبه.;Сезонный рабочий любит своего возлюбленного.;Працівник збору врожаю любить свого коханого.;הפועל החקלאי אוהב את אהובו.;0-0 1-1 2-2 3-4 4-5;0-0 1-1 2-2 3-3 4-4;0-0 1-1 1-2 2-3 3-5 4-4 4-6;0-1 1-0 1-1 2-2 4-3;0-0 1-0 1-1 2-2 3-3 4-4;0-0 1-0 2-3 3-4 4-5;0-0 1-1 2-2 3-3 4-4;[0, 1];El jornalero;Le saisonnier;Il bracciante agricolo;العامل الموسمي;Сезонный рабочий;Працівник;הפועל החקלאי;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
5;39;Erntehelfer;111;MASCULINE;1;;Helfer;Liebhaberin;romantic;FEMININE;4;;none;none;none;none;none;Der Erntehelfer liebt seine Liebhaberin.;El jornalero ama a su amante.;Le travailleur saisonnier aime sa maîtresse.;Il bracciante ama la sua amante.;عامل الحصاد يحب حبيبته.;Сезонный рабочий любит свою возлюбленную.;Збирач врожаю кохає свою кохану.;פועל הקטיף אוהב את אהובתו.;0-0 1-1 2-2 3-4 4-5;0-0 1-1 1-2 2-3 3-4 4-5;0-0 1-1 2-2 3-4 4-3 4-5;0-0 1-1 2-2 3-3 4-3;0-0 1-0 1-1 2-2 3-3 4-4;0-0 1-0 2-2 3-3 4-4;0-0 1-1 2-2 3-3 4-4;[0, 1];El jornalero;Le travailleur saisonnier;Il bracciante;عامل الحصاد;Сезонный рабочий;Збирач;פועל הקטיף;MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE'];MASCULINE;['MASCULINE']
