,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
total,530,530,530,530,530,530,530
correct,514,495,467,359,384,426,459
accuracy,0.969811320754717,0.9339622641509434,0.8811320754716981,0.6773584905660377,0.7245283018867924,0.8037735849056604,0.8660377358490566
true_error_count,5,17,23,50,99,52,71
unknown_count,11,18,40,121,47,52,0
pairing,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
error_m_to_f,4,13,11,2,9,16,69
error_m_to_u,4,9,14,32,21,23,0
error_f_to_m,1,4,12,48,88,32,2
error_f_to_u,7,9,26,89,26,29,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,2,1,0
error_f_to_n,0,0,0,0,0,3,0
