,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
total,530,530,530,530,530,530,530
correct,514,499,473,337,365,415,470
accuracy,0.969811320754717,0.9415094339622642,0.8924528301886793,0.6358490566037736,0.6886792452830188,0.7830188679245284,0.8867924528301887
true_error_count,2,12,23,81,101,55,60
unknown_count,14,19,34,112,64,60,0
pairing,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
error_m_to_f,1,7,11,5,12,8,56
error_m_to_u,6,11,13,27,27,25,0
error_f_to_m,1,5,12,76,85,42,4
error_f_to_u,8,8,21,85,37,35,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,2,3,0
error_f_to_n,0,0,0,0,2,2,0
