,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
total,530,530,530,530,530,530,530
correct,450,472,382,341,321,373,426
accuracy,0.8490566037735849,0.8905660377358491,0.720754716981132,0.6433962264150943,0.6056603773584905,0.7037735849056603,0.8037735849056604
true_error_count,61,33,107,88,130,96,104
unknown_count,19,25,41,101,79,61,0
pairing,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
error_m_to_f,8,14,21,2,17,14,84
error_m_to_u,7,10,21,29,32,26,0
error_f_to_m,53,19,86,86,110,81,20
error_f_to_u,12,15,20,72,47,35,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,1,0,0
error_f_to_n,0,0,0,0,2,1,0
