,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,,,,,,,
total,558,558,558,558,558,558,558
correct,218,204,230,182,223,227,270
accuracy,0.3906810035842294,0.3655913978494624,0.4121863799283154,0.32616487455197135,0.3996415770609319,0.4068100358422939,0.4838709677419355
true_error_count,226,219,239,195,245,252,288
unknown_count,114,135,89,181,90,79,0
error_m_to_f,72,109,45,96,41,28,225
error_m_to_u,56,68,45,85,41,37,0
error_f_to_m,129,85,170,83,163,186,35
error_f_to_u,55,64,40,84,43,38,0
error_d_to_m,12,8,14,6,13,15,5
error_d_to_f,13,17,10,10,9,9,23
error_d_to_u,3,3,4,12,6,4,0
error_m_to_n,0,0,0,0,10,8,0
error_f_to_n,0,0,0,0,9,6,0
