,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
total,530,530,530,530,530,530,530
correct,438,474,381,330,278,326,459
accuracy,0.8264150943396227,0.8943396226415095,0.7188679245283018,0.6226415094339622,0.5245283018867924,0.6150943396226415,0.8660377358490566
true_error_count,76,30,100,95,178,140,71
unknown_count,16,26,49,105,74,64,0
pairing,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender,same_gender
error_m_to_f,6,11,17,7,24,30,64
error_m_to_u,7,12,21,31,34,25,0
error_f_to_m,70,19,83,88,147,107,7
error_f_to_u,9,14,28,74,40,39,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,4,1,0
error_f_to_n,0,0,0,0,3,2,0
