,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
total,530,530,530,530,530,530,530
correct,480,490,404,335,307,356,470
accuracy,0.9056603773584906,0.9245283018867925,0.7622641509433963,0.6320754716981132,0.5792452830188679,0.6716981132075471,0.8867924528301887
true_error_count,35,17,76,92,148,110,60
unknown_count,15,23,50,103,75,64,0
pairing,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender,diff_gender
error_m_to_f,4,9,15,6,14,18,56
error_m_to_u,6,12,20,27,37,25,0
error_f_to_m,31,8,61,86,129,88,4
error_f_to_u,9,11,30,76,38,39,0
error_d_to_m,0,0,0,0,0,0,0
error_d_to_f,0,0,0,0,0,0,0
error_d_to_u,0,0,0,0,0,0,0
error_m_to_n,0,0,0,0,2,1,0
error_f_to_n,0,0,0,0,3,3,0
