,0,1,2,3,4,5,6
language,es,fr,it,ar,ru,uk,he
sentence_style,,,,,,,
total,558,558,558,558,558,558,558
correct,219,205,231,184,223,227,271
accuracy,0.3924731182795699,0.3673835125448029,0.41397849462365593,0.32974910394265233,0.3996415770609319,0.4068100358422939,0.48566308243727596
true_error_count,226,218,240,195,245,252,287
unknown_count,113,135,87,179,90,79,0
error_m_to_f,72,109,45,96,41,28,225
error_m_to_u,56,68,44,85,41,37,0
error_f_to_m,129,84,171,83,163,186,34
error_f_to_u,54,64,39,82,43,38,0
error_d_to_m,12,8,14,6,13,15,5
error_d_to_f,13,17,10,10,9,9,23
error_d_to_u,3,3,4,12,6,4,0
error_m_to_n,0,0,0,0,10,8,0
error_f_to_n,0,0,0,0,9,6,0
